aX,aY,aZ,gX,gY,gZ
0.494,-0.337,0.888,-3.052,-2.441,-17.456
0.014,-2.847,1.473,-13.489,-30.701,10.193
-0.065,-3.360,1.608,-7.263,-36.682,25.330
-0.228,-3.909,1.772,-1.892,-36.865,46.387
-0.444,-4.000,2.074,6.592,-36.621,79.285
-0.611,-4.000,2.365,17.944,-31.616,126.343
-0.766,-4.000,2.693,25.452,-18.372,178.162
-0.916,-3.615,2.767,27.100,11.963,225.342
-0.946,-2.797,2.587,24.597,53.894,267.273
-0.833,-1.705,2.279,22.156,90.576,298.096
-0.606,-0.682,2.017,26.855,112.366,305.115
-0.544,-0.166,1.564,41.199,125.793,287.781
-0.640,0.016,1.101,53.589,131.836,260.193
-0.755,0.072,0.722,60.974,129.089,238.525
-0.959,0.089,0.338,65.796,126.526,226.746
-1.098,0.262,-0.207,68.542,126.282,230.286
-1.101,0.656,-0.529,69.702,115.295,243.469
-0.640,2.009,-0.503,69.336,83.618,260.681
0.007,3.528,-0.464,69.702,42.358,252.319
0.251,3.611,-0.137,65.857,5.981,180.725
0.037,2.372,0.543,45.532,-8.667,86.243
-0.264,1.293,0.574,21.423,20.569,41.260
-0.441,0.663,0.516,10.376,47.485,43.274
-0.455,0.370,0.431,6.714,54.382,59.021
-0.365,0.326,0.058,6.531,59.631,80.322
-0.288,0.392,-0.101,2.136,54.749,104.126
-0.047,0.922,-0.128,-1.709,40.649,125.000
0.283,1.577,-0.029,2.625,13.306,128.662
0.460,1.606,0.306,7.385,-16.296,98.328
0.567,1.398,0.669,5.920,-29.724,62.256
0.513,0.963,0.970,2.930,-29.480,33.630
0.410,0.481,1.108,-1.526,-18.799,14.221
0.347,0.195,1.136,-5.066,-3.723,13.672
0.321,0.104,1.089,-6.348,10.071,24.658
0.329,0.063,0.952,-6.653,21.973,35.461
0.326,0.098,0.707,-4.395,28.992,44.189
0.394,0.233,0.661,0.000,23.499,49.500
0.505,0.508,0.642,7.690,11.108,50.598
0.545,0.567,0.644,14.893,-0.061,40.039
0.536,0.393,0.758,17.395,-7.996,23.071
0.538,0.239,0.893,17.639,-10.742,12.939
0.514,0.165,0.931,18.982,-7.629,10.010
0.489,0.055,0.914,18.738,-1.160,8.179
0.459,0.022,0.833,14.648,8.118,10.132
0.460,0.009,0.721,10.742,17.456,13.489
0.447,-0.018,0.586,7.935,21.851,14.954
0.477,-0.005,0.450,5.066,21.423,16.479
0.511,0.046,0.451,3.723,13.489,17.090
0.528,0.070,0.465,5.371,2.625,15.076
0.564,0.045,0.573,6.775,-6.592,10.925
0.579,0.044,0.712,6.348,-12.939,8.728
0.590,0.035,0.779,5.371,-13.184,8.240
0.591,0.014,0.830,3.113,-10.498,8.728
0.580,-0.004,0.828,-0.305,-4.272,9.583
0.600,-0.042,0.805,-3.967,2.258,9.888
0.600,-0.093,0.778,-6.042,7.080,10.376
0.631,-0.082,0.757,-8.179,8.728,12.756
0.672,0.024,0.753,-9.216,7.812,15.991
0.687,0.062,0.741,-8.423,6.470,14.221
0.669,0.050,0.708,-6.958,6.104,9.460
0.640,0.016,0.731,-6.042,3.967,5.127
0.627,-0.001,0.759,-5.371,2.014,2.258
0.626,-0.001,0.803,-4.089,0.732,0.854
0.620,-0.041,0.862,-2.380,-0.183,-1.160
0.604,-0.100,0.893,-1.343,0.732,-2.197
0.587,-0.147,0.897,-0.977,3.113,-1.526
0.570,-0.185,0.901,-0.793,6.226,0.610
0.556,-0.173,0.864,-2.197,11.108,4.211
0.571,-0.081,0.758,-3.784,16.541,7.263
0.568,-0.026,0.692,-3.723,16.541,6.714
0.562,-0.040,0.686,-2.991,12.268,2.625
0.549,-0.017,0.663,-2.563,9.644,0.305
0.531,-0.087,0.681,-1.770,5.981,-2.563
0.524,-0.133,0.717,0.366,1.770,-3.967
0.526,-0.178,0.734,2.747,-0.916,-3.113
0.525,-0.229,0.773,3.662,-1.526,-1.831
0.531,-0.226,0.805,3.052,-0.854,1.709
0.551,-0.172,0.753,0.854,3.967,5.920
0.556,-0.154,0.751,-1.282,7.019,7.080
0.555,-0.159,0.751,-3.113,8.484,6.714
0.554,-0.124,0.708,-4.272,10.498,7.141
0.554,-0.107,0.702,-5.066,9.705,7.019
0.545,-0.120,0.736,-4.272,5.859,5.798
0.550,-0.117,0.761,-2.441,2.686,5.737
0.552,-0.114,0.776,-0.732,0.427,6.104
0.578,-0.129,0.776,-0.244,-0.977,6.714
0.631,-0.078,0.763,-0.854,-0.793,7.751
0.657,-0.075,0.814,-0.793,-2.014,5.615
0.652,-0.114,0.864,0.305,-2.075,1.770
0.619,-0.179,0.831,0.488,2.380,-1.160
0.604,-0.183,0.828,-0.183,4.089,-0.366
0.589,-0.158,0.816,1.282,4.700,1.709
0.575,-0.171,0.797,4.822,4.395,1.465
0.578,-0.116,0.778,9.216,2.380,2.319
0.569,-0.106,0.806,12.817,-0.977,1.953
0.562,-0.145,0.851,13.611,-2.747,0.366
0.556,-0.142,0.847,13.062,-0.732,1.648
0.566,-0.117,0.828,11.536,2.502,3.357
0.573,-0.102,0.793,8.850,6.470,4.150
0.565,-0.105,0.707,5.554,11.230,3.418
0.561,-0.133,0.659,3.113,12.390,1.831
0.553,-0.175,0.660,1.160,8.972,-0.305
0.553,-0.212,0.683,-0.061,6.470,-0.732
0.573,-0.159,0.673,-0.977,7.874,4.944
0.587,-0.098,0.609,-0.244,8.423,7.935
0.615,-0.056,0.621,1.099,3.845,7.507
0.639,0.002,0.674,1.770,-1.709,6.836
0.661,0.026,0.677,2.563,-2.808,3.723
0.648,-0.031,0.724,3.662,-3.113,-0.916
0.630,-0.106,0.755,2.808,-2.747,-3.357
0.618,-0.128,0.746,2.258,-0.244,-2.808
0.608,-0.159,0.755,1.465,1.282,-2.258
0.601,-0.173,0.750,0.061,3.418,-1.404
0.601,-0.153,0.730,-0.183,4.883,0.427
0.600,-0.139,0.737,0.977,4.089,1.709
0.599,-0.126,0.751,2.136,2.441,2.014
0.613,-0.078,0.750,2.991,1.648,2.258
0.606,-0.077,0.767,4.272,-0.305,0.854
0.603,-0.084,0.769,5.249,-1.221,-0.549
0.591,-0.107,0.781,4.761,-0.977,-1.343
0.591,-0.125,0.779,3.418,0.610,-1.709
0.280,-1.666,2.457,-8.423,-38.574,22.339
0.315,-1.891,2.451,-6.287,-14.282,25.330
0.302,-2.133,2.389,-2.625,2.563,32.715
0.239,-2.401,2.484,8.240,6.104,42.053
0.075,-2.692,2.610,22.949,12.634,53.955
-0.185,-2.961,2.571,32.959,31.799,68.115
-0.544,-3.195,2.429,37.598,58.899,90.942
-0.875,-3.292,2.212,32.593,89.600,125.244
-1.224,-3.217,1.875,29.480,117.188,163.574
-1.426,-2.843,1.570,35.156,126.587,200.745
-1.236,-1.775,1.458,47.913,110.535,239.807
-1.066,-0.914,1.474,63.416,86.670,259.705
-0.969,-0.543,1.449,67.566,80.200,252.686
-0.959,-0.385,1.451,66.833,83.740,244.202
-0.994,-0.347,1.364,68.909,89.966,238.342
-1.032,-0.233,1.086,68.787,103.760,242.432
-1.077,-0.044,0.752,61.218,121.582,256.531
-0.983,0.500,0.264,52.246,139.221,274.170
-0.685,1.394,-0.269,49.500,140.747,286.743
-0.271,2.095,-0.465,50.476,116.333,273.682
0.123,2.442,-0.428,52.368,80.261,234.985
0.348,2.376,-0.242,54.932,50.293,183.899
0.422,1.975,0.034,54.749,34.607,136.536
0.309,1.575,0.182,53.345,36.499,104.858
0.098,1.174,0.118,49.561,47.058,86.975
-0.043,0.925,0.093,40.466,53.955,82.581
-0.121,0.761,0.151,28.320,54.199,87.219
-0.143,0.768,0.153,18.799,53.467,98.755
0.041,1.176,0.210,14.465,43.945,113.892
0.235,1.510,0.399,12.512,24.780,114.563
0.264,1.236,0.595,5.127,14.587,89.539
0.241,0.925,0.658,-3.418,19.531,68.970
0.187,0.697,0.628,-8.972,27.771,60.669
0.181,0.495,0.555,-13.062,33.386,56.030
0.224,0.441,0.532,-14.099,33.203,58.533
0.263,0.388,0.539,-10.925,27.466,60.669
0.281,0.335,0.509,-6.104,21.362,61.401
0.335,0.370,0.551,-2.686,13.550,64.331
0.455,0.620,0.607,3.113,3.967,66.772
0.578,0.848,0.620,9.583,-4.456,59.631
0.621,0.812,0.670,12.268,-10.559,38.818
0.620,0.618,0.726,10.193,-10.620,16.724
0.585,0.406,0.806,6.042,-7.141,1.892
0.528,0.190,0.804,2.136,-0.122,-5.310
0.479,0.017,0.742,-1.526,9.460,-5.981
0.471,0.046,0.605,-3.174,15.869,0.305
0.499,0.082,0.559,-2.075,14.160,5.005
0.511,0.046,0.568,0.488,6.775,4.211
0.510,-0.021,0.567,4.028,0.488,3.845
0.487,-0.077,0.651,7.568,-6.775,5.615
0.507,-0.029,0.698,9.949,-10.376,10.132
0.569,0.087,0.722,9.766,-9.338,13.672
0.609,0.111,0.742,7.629,-6.775,12.146
0.595,0.070,0.703,4.883,-2.502,7.263
0.598,0.004,0.725,1.221,-0.244,4.395
0.580,-0.036,0.715,-1.526,2.808,3.662
0.574,-0.026,0.674,-3.967,7.935,5.920
0.571,-0.020,0.651,-5.310,9.644,7.080
0.557,-0.020,0.574,-3.540,9.094,6.836
0.531,-0.018,0.514,0.610,4.211,6.409
0.526,-0.066,0.538,4.578,-4.028,5.066
0.546,-0.055,0.632,6.897,-12.695,6.470
0.588,-0.018,0.725,7.751,-17.273,8.362
0.642,0.077,0.766,7.141,-16.052,8.911
0.664,0.086,0.816,5.005,-13.184,5.188
0.665,-0.003,0.853,3.235,-9.338,-0.793
0.657,-0.050,0.862,2.563,-5.127,-2.136
0.655,-0.081,0.840,2.014,-1.404,-1.160
0.644,-0.083,0.760,0.610,3.601,0.793
0.636,-0.048,0.690,-1.038,6.775,3.723
0.657,0.017,0.688,-1.770,5.676,5.432
0.663,0.027,0.720,-1.038,2.991,3.662
0.666,0.031,0.726,0.610,2.014,0.549
0.649,0.048,0.752,1.953,1.160,-1.770
0.655,0.050,0.798,1.404,0.610,-4.333
0.638,0.043,0.815,1.648,1.404,-7.263
0.608,-0.018,0.828,2.075,2.441,-10.742
0.582,-0.087,0.847,2.441,2.747,-12.512
0.559,-0.145,0.844,4.639,3.418,-11.536
0.532,-0.190,0.810,6.531,4.272,-8.301
0.533,-0.182,0.785,7.080,4.639,-3.479
0.547,-0.173,0.750,6.958,5.371,0.427
0.559,-0.131,0.694,6.226,6.592,3.967
0.578,-0.080,0.673,4.395,5.371,6.531
0.601,-0.040,0.670,2.747,3.174,6.592
0.610,0.014,0.683,1.648,1.282,5.737
0.603,0.006,0.717,2.075,-0.732,2.258
0.583,-0.086,0.756,0.854,-0.549,-2.258
0.559,-0.159,0.780,0.671,0.000,-3.174
0.545,-0.141,0.760,2.808,0.977,-0.183
0.542,-0.159,0.761,4.211,0.488,1.892
0.555,-0.138,0.780,4.395,-0.549,4.272
0.579,-0.064,0.763,3.723,0.488,7.690
0.594,-0.020,0.740,2.686,1.892,8.179
0.601,-0.020,0.729,1.953,1.892,6.470
0.606,-0.031,0.731,1.404,1.282,4.700
0.615,-0.022,0.729,1.892,0.671,3.540
0.628,0.023,0.719,2.563,1.221,2.747
0.614,-0.027,0.731,1.709,1.587,-0.977
0.579,-0.077,0.719,0.732,2.014,-2.686
0.567,-0.112,0.713,0.061,2.747,-2.258
0.571,-0.113,0.726,-0.916,3.174,-0.671
0.581,-0.084,0.723,-1.648,3.845,2.136
0.589,-0.067,0.721,-2.563,4.700,3.357
0.599,-0.074,0.718,-2.808,4.333,3.357
0.595,-0.087,0.737,-2.747,3.296,3.845
0.602,-0.074,0.747,-3.662,3.601,5.676
0.602,-0.076,0.727,-4.089,4.639,6.592
0.614,-0.062,0.728,-4.272,4.333,7.202
0.634,-0.013,0.718,-4.211,3.662,8.179
0.627,-0.002,0.688,-4.578,3.296,7.324
0.624,-0.043,0.726,-5.737,1.282,5.005
0.631,-0.067,0.763,-5.920,0.000,3.967
0.628,-0.042,0.767,-4.395,0.488,4.639
0.626,-0.033,0.789,-3.906,0.732,4.700
0.621,-0.017,0.807,-3.540,1.648,4.333
0.611,-0.015,0.805,-3.113,3.418,3.601
0.597,-0.017,0.766,-2.747,5.432,2.502
0.598,-0.059,0.770,-1.648,4.395,0.977
0.594,-0.053,0.801,0.427,1.709,1.648
0.392,-2.361,2.142,-19.287,-49.316,44.312
0.422,-2.471,2.336,-6.165,-42.847,56.335
0.385,-2.675,2.430,11.475,-31.921,59.265
0.273,-2.839,2.467,30.212,-20.630,64.087
0.023,-2.958,2.509,44.617,-8.667,75.989
-0.230,-3.042,2.582,48.096,10.559,95.093
-0.510,-3.163,2.544,47.424,41.321,116.455
-0.774,-3.365,2.451,44.128,78.247,141.846
-1.071,-3.473,2.189,41.687,116.028,176.147
-1.333,-3.312,1.738,40.344,148.010,222.961
-1.387,-2.702,1.223,41.199,166.748,281.250
-1.269,-1.592,0.885,35.828,174.255,340.149
-1.006,-0.047,0.360,21.729,188.477,379.944
-0.595,1.421,-0.269,21.851,188.721,385.864
-0.161,2.784,-0.868,33.447,161.865,357.178
0.143,3.506,-1.314,40.833,119.934,293.213
0.139,2.985,-1.353,40.222,63.538,199.219
-0.038,1.579,-0.158,46.692,-17.334,103.516
-0.225,0.822,0.473,44.189,-35.278,76.294
-0.422,0.305,0.710,39.856,-11.230,86.670
-0.555,0.164,0.960,28.809,6.104,114.746
-0.644,0.469,0.929,15.991,34.302,149.170
-0.356,1.097,0.809,9.277,50.354,170.166
-0.112,2.055,0.470,10.864,47.791,178.284
0.046,2.225,0.251,2.747,43.030,149.719
0.125,1.617,0.385,-13.611,33.264,92.590
0.156,0.814,0.625,-20.874,23.071,53.589
0.207,0.683,0.718,-15.442,22.644,56.030
0.309,0.805,0.520,-10.254,32.104,62.317
0.359,0.862,0.277,-7.690,37.109,58.472
0.379,0.858,0.142,-5.310,30.762,52.002
0.374,0.766,0.131,-1.404,17.761,45.227
0.356,0.611,0.243,5.798,-0.244,35.889
0.321,0.405,0.496,18.188,-20.508,27.466
0.384,0.289,0.843,29.358,-36.377,21.790
0.428,0.347,1.040,36.255,-38.635,21.545
0.460,0.404,1.089,35.156,-26.123,20.813
0.482,0.395,1.091,25.574,-10.071,14.832
0.477,0.359,1.076,15.625,3.357,9.155
0.447,0.251,1.019,8.667,13.733,3.418
0.412,0.121,0.931,4.639,20.935,-0.122
0.396,-0.000,0.856,3.052,23.621,-0.427
0.381,-0.107,0.779,5.371,22.461,1.282
0.392,-0.152,0.715,10.864,18.066,4.944
0.426,-0.088,0.682,16.968,12.024,10.559
0.452,-0.021,0.633,20.630,6.897,13.794
0.483,0.006,0.615,19.897,3.174,14.160
0.561,0.154,0.702,18.616,-2.014,15.259
0.613,0.278,0.771,17.029,-3.479,13.428
0.644,0.230,0.749,12.939,-0.610,2.502
0.629,0.095,0.768,9.033,1.953,-7.996
0.617,0.078,0.719,6.897,6.104,-7.385
0.593,-0.004,0.663,4.761,10.315,-7.141
0.572,-0.021,0.617,2.258,12.207,-5.066
0.537,-0.093,0.540,0.793,11.414,-6.287
0.511,-0.170,0.547,0.671,6.409,-5.798
0.500,-0.200,0.587,0.671,2.197,-2.075
0.513,-0.157,0.575,-0.732,2.686,3.601
0.528,-0.060,0.549,-1.282,3.723,8.789
0.563,0.042,0.570,-0.671,1.221,10.010
0.592,0.167,0.592,-0.122,-2.258,8.301
0.638,0.101,0.649,-0.061,-6.042,-0.244
0.646,-0.009,0.793,0.610,-10.925,-7.935
0.647,-0.016,0.898,2.380,-10.925,-6.226
0.626,-0.044,0.874,2.502,-4.517,-5.920
0.577,-0.115,0.846,0.366,1.221,-7.874
0.549,-0.157,0.808,-1.404,5.859,-6.470
0.538,-0.156,0.732,-2.441,9.705,-3.662
0.536,-0.108,0.678,-3.052,8.972,-2.136
0.547,-0.167,0.718,-3.296,3.357,-3.418
0.543,-0.188,0.776,-1.465,-0.732,-3.113
0.530,-0.167,0.773,0.305,0.549,-0.488
0.526,-0.163,0.755,-1.160,3.845,1.099
