aX,aY,aZ,gX,gY,gZ
0.516,-0.458,-0.633,4.822,-5.249,-5.432
0.517,-0.450,-0.641,4.211,-4.211,-6.531
0.527,-0.450,-0.659,2.502,-3.540,-7.935
0.526,-0.452,-0.669,0.610,-3.357,-9.766
0.035,-2.346,-1.208,8.972,22.400,0.916
-0.025,-2.184,-1.151,10.254,13.916,27.710
-0.098,-2.002,-1.065,3.540,7.812,45.166
-0.159,-1.909,-1.002,-12.512,4.395,51.086
-0.204,-1.887,-1.075,-33.691,5.859,49.622
-0.185,-1.988,-1.240,-55.176,3.479,44.006
-0.182,-2.325,-1.245,-65.735,-8.362,35.583
-0.216,-2.789,-1.114,-63.660,-22.034,36.621
-0.232,-3.257,-0.972,-55.725,-26.184,55.115
-0.276,-3.467,-0.820,-45.715,-26.978,93.018
-0.373,-3.359,-0.612,-30.090,-27.283,140.930
-0.486,-3.079,-0.538,-21.362,-18.921,186.768
-0.602,-2.744,-0.648,-30.029,-4.028,223.328
-0.718,-2.322,-0.786,-46.570,5.493,252.502
-0.798,-1.826,-0.868,-59.204,11.536,278.503
-0.857,-1.283,-0.922,-65.674,17.456,299.683
-0.908,-0.751,-1.008,-82.275,23.621,312.500
-0.848,-0.336,-1.088,-106.750,24.597,312.683
-0.778,-0.020,-1.149,-122.498,20.081,304.993
-0.686,0.343,-1.255,-120.178,12.878,299.255
-0.631,0.721,-1.245,-99.609,-0.916,294.678
-0.588,1.065,-1.076,-63.416,-19.165,288.940
-0.549,1.320,-0.761,-22.583,-34.851,278.992
-0.518,1.574,-0.308,6.042,-41.382,263.245
-0.425,1.785,-0.146,15.869,-29.968,239.563
-0.301,1.759,-0.074,9.399,-13.672,203.918
-0.170,1.672,-0.159,-11.597,-0.977,164.368
-0.050,1.515,-0.317,-42.175,6.409,124.695
0.062,1.223,-0.433,-68.298,9.827,88.806
0.132,1.029,-0.595,-73.486,14.587,67.078
0.171,0.928,-0.687,-59.814,16.418,56.274
0.212,0.811,-0.722,-39.551,15.320,46.631
0.244,0.562,-0.723,-23.804,15.015,32.349
0.293,0.244,-0.686,-18.738,13.855,17.761
0.358,-0.119,-0.666,-20.691,13.977,7.019
0.397,-0.384,-0.625,-21.912,14.832,4.578
0.430,-0.405,-0.583,-20.996,16.541,13.367
0.459,-0.286,-0.606,-18.250,19.104,23.743
0.475,-0.168,-0.604,-13.184,19.165,27.649
0.474,-0.124,-0.607,-8.850,18.311,26.245
0.487,-0.196,-0.604,-4.028,17.761,21.057
0.495,-0.274,-0.602,3.967,17.700,17.334
0.512,-0.303,-0.600,11.719,17.883,16.052
0.528,-0.386,-0.613,13.916,18.188,13.550
0.547,-0.467,-0.623,9.338,17.944,9.949
0.558,-0.447,-0.589,-0.061,15.747,9.216
0.610,-0.422,-0.584,-11.719,14.526,8.606
0.588,-0.432,-0.595,-18.982,14.954,7.202
0.603,-0.390,-0.598,-24.597,15.320,7.019
0.612,-0.350,-0.632,-26.611,16.968,6.104
0.621,-0.337,-0.725,-24.109,18.799,3.662
0.608,-0.351,-0.701,-14.954,15.320,1.160
0.599,-0.400,-0.566,-5.615,8.972,-1.587
0.589,-0.459,-0.537,0.488,10.315,-3.967
0.597,-0.500,-0.561,3.296,13.123,-6.348
0.604,-0.563,-0.566,2.075,13.245,-9.338
0.610,-0.644,-0.577,-0.977,13.062,-11.230
0.603,-0.715,-0.600,-4.150,13.489,-10.620
0.605,-0.717,-0.645,-5.432,13.611,-6.653
0.602,-0.728,-0.679,-6.165,13.184,-2.686
0.597,-0.749,-0.681,-5.554,11.597,0.488
0.586,-0.722,-0.703,-2.441,10.742,4.883
0.591,-0.623,-0.722,1.709,9.277,9.827
0.585,-0.540,-0.713,5.310,6.409,11.963
0.571,-0.482,-0.669,8.972,3.357,11.658
0.564,-0.458,-0.586,12.207,1.099,9.705
0.544,-0.448,-0.558,13.245,2.014,6.775
0.546,-0.454,-0.572,10.803,3.540,3.113
0.548,-0.507,-0.619,5.981,5.005,-0.977
0.563,-0.565,-0.651,2.441,4.517,-2.380
0.559,-0.626,-0.664,1.953,3.113,-1.892
0.559,-0.594,-0.651,4.028,1.770,1.587
0.552,-0.493,-0.640,6.653,1.892,6.226
0.550,-0.431,-0.625,6.409,2.075,6.104
0.552,-0.462,-0.610,4.150,2.136,2.075
0.547,-0.473,-0.607,3.052,2.319,-0.854
0.541,-0.500,-0.579,2.258,2.075,-2.075
0.533,-0.518,-0.575,2.686,3.296,-2.502
0.530,-0.531,-0.625,3.479,5.493,-2.747
0.544,-0.588,-0.644,5.249,5.432,-3.479
0.547,-0.662,-0.663,6.653,4.700,-3.418
0.554,-0.688,-0.643,7.690,3.723,-1.099
0.561,-0.656,-0.644,8.911,3.479,2.930
0.564,-0.614,-0.652,9.155,3.967,6.226
0.554,-0.600,-0.639,9.033,2.930,7.080
0.550,-0.570,-0.620,8.484,2.014,7.751
0.539,-0.564,-0.598,6.775,2.197,7.446
0.536,-0.565,-0.606,5.371,3.601,6.531
0.540,-0.543,-0.625,5.798,4.883,6.592
0.552,-0.540,-0.660,5.615,5.371,5.859
0.553,-0.552,-0.687,6.226,5.432,4.822
0.551,-0.542,-0.681,7.690,3.784,4.761
0.556,-0.537,-0.672,9.827,2.930,5.249
0.556,-0.554,-0.639,12.146,2.686,5.371
0.543,-0.534,-0.591,11.597,2.869,5.737
0.542,-0.522,-0.541,4.150,3.052,3.723
0.537,-0.588,-0.512,-8.728,4.150,-1.465
0.538,-0.621,-0.509,-21.179,6.531,-4.517
0.556,-0.627,-0.605,-30.212,10.437,-4.639
0.567,-0.647,-0.674,-30.579,11.719,-3.418
0.575,-0.618,-0.729,-21.484,11.597,1.221
0.565,-0.550,-0.735,-6.348,10.620,8.179
0.554,-0.474,-0.719,6.287,8.850,12.207
0.538,-0.477,-0.681,10.742,6.958,10.498
0.530,-0.524,-0.683,9.277,6.348,5.676
0.536,-0.589,-0.690,6.836,6.042,2.319
0.536,-0.599,-0.699,4.700,4.761,2.075
0.546,-0.580,-0.723,1.709,4.333,2.869
0.540,-0.565,-0.717,-0.488,2.747,3.174
0.554,-0.530,-0.725,-1.831,1.282,4.150
0.561,-0.544,-0.738,-3.296,0.610,4.150
0.553,-0.541,-0.711,-2.502,-1.404,4.578
0.556,-0.502,-0.684,-1.648,-2.625,6.165
0.552,-0.498,-0.670,-1.404,-2.625,5.554
0.546,-0.509,-0.639,-1.465,-3.052,3.601
