aX,aY,aZ,gX,gY,gZ
0.059,-0.828,0.676,7.019,10.986,38.940
0.069,-0.859,0.649,9.277,8.789,40.344
-0.628,2.858,-0.298,56.396,-24.902,-13.184
-0.774,2.864,-0.162,49.438,-44.617,-58.594
-0.916,2.762,0.033,32.715,-62.927,-104.187
-1.039,2.593,0.264,16.846,-75.378,-147.766
-1.138,2.367,0.433,7.690,-80.383,-188.049
-1.203,2.110,0.549,8.545,-76.782,-223.450
-1.244,1.771,0.633,31.250,-70.007,-254.883
-1.275,1.330,0.582,68.054,-55.908,-282.593
-1.292,0.884,0.503,103.455,-41.748,-302.734
-1.254,0.292,0.568,135.376,-31.250,-319.763
-1.156,-0.250,0.819,173.706,-23.376,-330.872
-1.083,-0.594,0.728,222.961,-7.507,-333.740
-1.080,-0.691,-0.015,253.296,15.320,-332.031
-1.081,-0.955,-0.470,242.065,6.775,-337.463
-1.091,-1.279,-0.084,184.631,-36.865,-343.994
-1.152,-1.599,0.565,108.154,-71.777,-345.886
-1.112,-2.193,1.222,42.480,-81.848,-350.159
-0.994,-2.739,1.655,19.348,-73.914,-344.482
-0.872,-2.978,1.659,27.893,-44.861,-318.787
-0.854,-2.860,1.536,54.443,-14.038,-281.189
-0.609,-2.626,1.031,93.201,14.893,-245.178
-0.633,-1.981,0.735,119.507,27.832,-210.815
-0.655,-1.304,0.414,99.487,27.344,-186.646
-0.697,-1.042,0.013,32.349,19.348,-188.599
-0.774,-1.140,-0.051,-44.556,-6.104,-200.134
-0.849,-1.441,0.299,-90.332,-39.185,-209.412
-0.841,-1.986,0.638,-85.449,-56.702,-214.783
-0.756,-2.604,1.178,-39.978,-61.768,-210.693
-0.594,-3.023,1.675,22.705,-52.246,-186.157
-0.495,-2.953,1.507,76.721,-17.090,-142.151
-0.479,-2.471,1.123,103.760,15.503,-94.055
-0.518,-1.797,0.946,110.413,27.344,-57.373
-0.527,-1.205,0.834,104.797,31.189,-41.443
-0.550,-0.966,0.722,72.083,31.250,-46.753
