aX,aY,aZ,gX,gY,gZ
0.003,-0.760,-0.814,-15.747,-7.874,15.625
0.004,-0.754,-0.794,-14.771,-8.545,15.991
0.008,-0.764,-0.786,-14.282,-8.850,15.808
0.005,-0.774,-0.783,-13.611,-8.606,15.503
0.006,-0.778,-0.792,-12.512,-7.996,15.564
0.017,-0.782,-0.790,-10.376,-7.629,15.625
0.025,-0.778,-0.772,-7.629,-7.568,15.625
0.025,-0.765,-0.734,-5.432,-7.141,16.052
0.042,-0.775,-0.727,-4.272,-5.798,15.747
0.039,-0.767,-0.753,-3.601,-4.211,16.602
-0.461,2.853,0.595,-34.485,49.866,-83.374
-0.693,2.954,0.636,-12.512,68.848,-135.681
-0.874,2.762,0.606,21.423,95.215,-199.890
-1.043,2.402,0.465,60.425,126.343,-261.292
-1.191,1.914,0.240,89.172,153.442,-309.448
-1.179,1.174,-0.077,90.149,170.898,-343.384
-1.154,0.492,-0.587,53.467,171.875,-353.210
-1.040,-0.367,-1.092,-17.883,145.386,-345.947
-0.760,-1.443,-1.069,-100.281,92.896,-333.557
-0.472,-2.395,-0.851,-156.006,47.974,-312.195
-0.212,-2.948,-0.964,-158.813,41.382,-280.029
-0.079,-2.901,-1.146,-117.859,53.162,-244.812
-0.224,-2.335,-1.510,-60.120,73.425,-213.257
-0.294,-1.876,-1.799,-3.357,86.731,-204.102
-0.310,-1.943,-1.679,44.250,85.938,-222.473
-0.225,-2.208,-1.712,83.740,90.637,-242.615
-0.194,-2.467,-1.672,117.859,101.868,-251.160
-0.002,-2.965,-1.807,137.939,113.892,-252.502
-0.134,-3.016,-2.175,125.488,115.784,-230.835
0.088,-2.665,-1.988,77.026,72.876,-176.941
0.064,-2.451,-1.697,34.607,43.030,-132.751
0.099,-2.577,-1.911,8.850,35.461,-127.563
0.002,-1.661,-1.469,-2.136,5.432,-83.374
-0.039,-1.507,-1.043,-7.874,-13.611,-77.026
0.004,-1.528,-0.796,-10.071,-9.705,-87.463
0.003,-1.440,-0.895,-5.737,4.089,-82.947
-0.021,-1.307,-0.977,2.869,12.451,-75.378
-0.061,-1.194,-0.818,10.376,7.629,-69.397
-0.124,-1.128,-0.775,16.541,8.850,-65.186
-0.078,-1.193,-0.856,19.775,15.259,-61.340
-0.100,-1.047,-0.856,17.944,14.954,-52.551
-0.104,-1.215,-0.944,3.174,11.841,-50.964
-0.052,-1.012,-1.015,-14.893,2.563,-33.997
-0.057,-1.134,-0.953,-30.457,-8.606,-28.076
-0.025,-1.125,-0.833,-40.894,-17.700,-22.156
-0.002,-1.075,-0.831,-40.405,-16.296,-11.963
-0.026,-0.953,-0.910,-36.621,-12.695,-4.333
-0.020,-0.886,-0.853,-32.532,-15.686,-0.305
0.004,-0.877,-0.795,-25.940,-16.846,-0.305
0.018,-0.845,-0.787,-17.395,-14.099,0.488
0.024,-0.822,-0.780,-10.254,-12.329,1.099
0.040,-0.813,-0.736,-5.432,-12.024,1.404
0.044,-0.792,-0.725,-1.526,-10.376,2.136
0.028,-0.734,-0.706,-0.305,-10.376,4.150
0.016,-0.702,-0.698,-0.549,-10.925,4.211
0.030,-0.719,-0.678,-1.465,-11.169,2.991
0.018,-0.725,-0.636,-2.258,-11.108,2.197
0.038,-0.757,-0.644,-4.089,-10.132,2.686
0.041,-0.746,-0.663,-4.150,-6.958,4.639
0.038,-0.723,-0.669,-4.028,-6.592,6.592
0.033,-0.717,-0.666,-3.052,-6.287,6.470
0.041,-0.703,-0.662,0.793,-4.578,5.737
0.035,-0.647,-0.682,6.287,-2.014,5.615
0.024,-0.602,-0.674,10.010,-0.122,4.028
