aX,aY,aZ,gX,gY,gZ
-0.088,0.519,0.108,-130.310,-66.406,-115.967
-0.515,-2.652,2.954,-318.420,-101.746,-67.749
-0.501,-1.723,2.084,-54.626,9.644,86.975
-0.306,-0.471,1.294,139.587,63.110,194.458
-0.274,0.058,1.035,142.029,65.308,200.195
-0.418,-0.233,1.298,85.266,52.002,149.841
-0.644,-0.786,1.594,82.581,65.613,119.141
0.153,-0.827,1.074,110.718,119.324,143.372
-0.201,-0.409,0.843,97.168,127.319,163.940
-0.624,0.114,0.820,89.050,105.286,157.715
-0.086,0.269,0.824,97.290,85.449,120.056
0.139,0.055,0.767,-42.297,99.915,60.425
0.055,-0.084,1.327,-298.340,124.390,0.671
0.004,-0.536,1.420,-475.525,172.729,-52.307
-0.029,-0.968,1.200,-516.602,220.276,-76.965
0.055,-1.136,0.972,-456.665,233.704,-63.843
0.145,-0.964,0.901,-340.454,213.928,-24.536
0.215,-0.643,0.954,-219.910,177.673,11.230
0.240,-0.403,0.994,-117.065,144.409,27.771
0.225,-0.277,0.980,-63.232,125.854,23.865
0.240,-0.267,0.955,-41.809,112.427,10.803
0.226,-0.375,0.987,-25.452,95.276,-2.991
0.240,-0.564,0.995,-14.587,81.360,-14.038
0.271,-0.659,1.027,-22.339,74.524,-16.907
0.285,-0.658,1.101,-39.001,70.862,-16.296
0.224,-0.670,1.114,-59.448,70.984,-17.761
0.191,-0.784,1.230,-68.359,65.125,-12.146
0.260,-0.535,1.295,-58.716,54.565,18.311
0.300,-0.436,1.068,-76.599,75.623,39.429
0.267,-0.515,0.732,-82.153,87.097,37.842
0.067,-0.255,0.980,26.123,68.298,53.223
0.167,-0.470,0.940,280.273,35.706,82.153
0.080,-0.579,1.008,182.739,37.170,82.703
-0.033,-0.790,0.770,211.487,43.640,90.088
-0.136,-0.803,0.380,198.486,36.377,106.384
0.296,-0.582,0.366,113.037,10.559,121.216
0.334,-0.673,0.459,100.098,-17.090,119.507
0.238,-0.741,0.746,102.661,-42.786,129.150
0.161,-0.649,0.975,114.502,-52.063,154.297
0.097,-0.316,1.131,104.858,-42.419,170.227
0.164,0.459,0.879,138.855,-33.569,172.607
0.136,1.023,0.583,155.273,-37.964,141.968
0.062,0.824,0.912,33.264,-56.946,57.495
0.148,-0.041,1.268,-93.689,-59.753,-29.968
0.188,-1.167,1.368,-165.955,-33.142,-67.322
0.148,-1.152,1.210,-132.751,-1.404,-10.681
0.175,-0.365,1.044,-58.472,20.081,75.012
