aX,aY,aZ,gX,gY,gZ
0.266,-1.628,0.261,-30.762,16.174,-149.719
0.343,-1.627,0.314,-42.908,25.635,-140.137
0.459,-2.654,0.456,-8.972,30.273,-32.471
0.366,-2.980,0.410,5.920,37.781,-28.503
0.226,-3.324,0.356,15.442,44.189,-14.709
0.071,-3.602,0.283,18.250,50.171,9.583
-0.111,-3.729,0.194,20.081,54.260,41.931
-0.310,-3.751,0.112,30.212,54.077,73.608
-0.506,-3.763,0.074,48.828,49.255,99.060
-0.701,-3.751,0.125,70.190,40.649,122.620
-0.922,-3.680,0.184,94.360,32.898,144.043
-1.172,-3.611,0.107,128.113,29.907,159.363
-1.416,-3.554,0.028,154.785,23.682,178.406
-1.673,-3.470,-0.002,162.720,14.160,201.904
-1.930,-3.361,-0.011,164.490,4.700,225.952
-2.173,-3.255,-0.024,165.466,-2.319,250.488
-2.417,-3.122,-0.041,163.452,-6.836,276.917
-2.663,-2.898,-0.069,157.227,-14.954,308.533
-2.860,-2.789,-0.216,158.752,-23.071,334.167
-3.042,-2.605,-0.360,160.522,-32.349,348.816
-3.134,-2.409,-0.347,162.476,-53.650,362.061
-3.189,-2.204,-0.292,171.387,-82.581,370.361
-3.169,-1.972,-0.142,179.993,-118.286,373.901
-3.060,-1.788,0.124,182.861,-156.128,376.465
-2.934,-1.536,0.514,178.589,-188.599,386.658
-2.815,-1.307,0.946,171.753,-205.566,401.855
-2.737,-0.958,1.388,163.879,-206.177,421.143
-2.772,-0.342,1.590,163.574,-195.435,440.247
-2.768,0.505,1.676,175.781,-187.256,446.716
-2.593,1.412,1.813,174.744,-188.721,434.753
-2.259,2.106,1.960,157.776,-191.895,401.489
-1.713,2.418,2.202,123.779,-188.904,348.877
-1.270,2.414,2.420,99.121,-173.035,285.034
-1.025,2.078,2.253,112.793,-143.555,221.497
-0.853,1.927,2.164,124.878,-126.282,176.697
-0.635,1.913,2.344,119.385,-126.343,149.414
-0.285,1.939,2.661,96.497,-130.249,129.028
0.078,2.060,2.928,69.397,-126.648,114.136
0.318,2.148,3.012,52.979,-110.107,97.290
0.468,2.242,2.970,44.678,-81.726,76.233
0.521,2.301,2.800,48.828,-46.875,46.021
0.489,2.203,2.484,69.275,-10.864,6.409
0.372,2.017,2.056,88.928,22.278,-31.372
0.196,1.670,1.561,103.027,49.133,-61.829
0.056,1.260,1.169,99.182,64.941,-80.139
-0.026,0.912,0.810,83.496,71.106,-82.947
-0.019,0.610,0.550,58.716,66.711,-75.989
0.082,0.376,0.477,27.771,52.551,-66.162
0.200,0.207,0.533,9.277,35.156,-55.908
0.314,0.088,0.688,4.272,22.034,-48.401
0.398,0.073,0.851,5.493,15.442,-43.884
0.457,0.072,0.981,13.306,13.611,-44.861
0.522,0.050,1.066,22.888,15.015,-51.392
0.556,-0.007,1.102,33.325,19.104,-59.814
0.545,-0.095,1.080,40.344,25.940,-68.054
0.511,-0.200,1.029,39.673,32.654,-72.937
0.503,-0.313,0.971,33.020,37.170,-73.425
0.510,-0.372,0.922,26.123,39.368,-69.946
0.499,-0.451,0.844,23.193,40.955,-67.505
0.490,-0.522,0.756,19.043,41.382,-67.444
0.485,-0.559,0.682,16.113,39.490,-67.993
0.472,-0.602,0.606,16.907,36.255,-69.519
0.446,-0.656,0.522,17.090,32.715,-69.702
0.418,-0.715,0.459,14.404,28.931,-66.589
0.407,-0.750,0.455,8.240,24.475,-59.692
0.395,-0.714,0.470,0.671,20.874,-51.941
0.405,-0.700,0.504,-3.601,17.761,-48.706
0.428,-0.720,0.532,-7.751,14.893,-49.805
0.453,-0.731,0.558,-11.292,13.489,-49.866
0.469,-0.719,0.577,-14.709,13.916,-47.729
0.486,-0.731,0.581,-15.259,15.381,-44.495
